developer,año,price,contador
Valve,2010.0,0.0,1
Bethesda Game Studios,2010.0,4.99,1
"EA - Maxis,Aspyr (Mac)",2003.0,19.99,1
"Akella,.dat",2010.0,14.99,1
"Arcen Games, LLC",2010.0,4.99,1
Invent4 Entertainment,2010.0,9.99,1
Blue Byte,2010.0,3.99,1
Dagger Games,2008.0,9.99,1
IO Interactive,2010.0,9.99,1
Rune Forge,2010.0,9.99,1
Paradox Interactive,2010.0,0.99,1
N3V Games,2010.0,19.99,1
Ino-Co,2010.0,4.99,1
"2K Czech,Feral Interactive (Mac)",2011.0,29.99,1
Dovetail Games,2010.0,4.99,1
Infinite Interactive,2010.0,9.99,1
doublesix,2010.0,9.99,1
Playbrains,2010.0,1.99,1
Playbrains,2010.0,1.99,1
Playbrains,2010.0,1.99,1
Playbrains,2010.0,2.99,1
Paradox Development Studio,2010.0,9.99,1
VStep,2010.0,19.99,1
Team17 Digital Ltd,2010.0,19.99,1
Muzzy Lane Software,2010.0,14.99,1
Bohemia Interactive,2010.0,8.99,1
Paradox Development Studio,2010.0,19.99,1
Playbrains,2010.0,1.99,1
IO Interactive,2010.0,5.99,1
IO Interactive,2010.0,1.99,1
N3V Games,2010.0,19.99,1
IO Interactive,2010.0,2.99,1
GSC Game World,2002.0,4.99,1
Revolution Software Ltd,2010.0,5.99,1
Zoë Mode,2010.0,4.99,1
"2K Czech,Feral Interactive (Mac)",2010.0,9.99,1
City Interactive,2010.0,1.99,1
Terry Cavanagh,2010.0,4.99,1
Blue Byte,2010.0,3.99,1
Frictional Games,2010.0,19.99,1
EasyGameStation,2010.0,19.99,1
Dedication Games,2010.0,3.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
exosyphen studios,2010.0,4.99,1
exosyphen studios,2010.0,4.99,1
Subsoap,2010.0,9.99,1
Gaming Minds Studios,2010.0,14.99,1
SEGA,2010.0,2.99,1
Katauri Interactive,2010.0,14.99,1
Dovetail Games,2010.0,4.99,1
"Firaxis Games,Aspyr (Mac, Linux)",2010.0,29.99,1
Nitro Games,2010.0,4.99,1
Croteam,2002.0,9.99,1
Blind Mind Studios,2010.0,9.99,1
Krome Studios,2010.0,2.99,1
Team17 Digital Ltd,2010.0,9.99,1
Vigil Games,2010.0,19.99,1
Egosoft,1999.0,4.99,1
NeoCoreGames,2010.0,9.99,1
ArenaNet®,2007.0,19.99,1
Egosoft,2000.0,4.99,1
Triumph Studios,,9.99,1
I Sioux Game Productions B.V.,2010.0,7.99,1
I Sioux Game Productions B.V.,2010.0,14.99,1
Triumph Studios,,9.99,1
Triumph Studios,,5.99,1
Electronic Arts,2010.0,19.99,1
"Headup Games,Silent Dreams",2010.0,9.99,1
"CAPCOM CO., LTD.",2010.0,19.99,1
Stickmen Studios,2010.0,4.99,1
Obsidian Entertainment,2010.0,9.99,1
Dmytry Lavrov,2010.0,6.99,1
Ivy Games,2010.0,4.99,1
Noumenon Games,2010.0,9.99,1
"Firaxis Games,Aspyr (Mac, Linux)",2010.0,4.99,1
Hothead Games,2010.0,14.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,4.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
SEGA,2010.0,2.99,1
Klei Entertainment,2010.0,9.99,1
Teotl Studios,2010.0,9.99,1
Aspyr Studios,2010.0,19.99,1
Firemint,2010.0,4.99,1
Ascaron Entertainment ltd.,2010.0,4.99,1
Gaijin Games,2010.0,9.99,1
1C Company,2010.0,1.99,1
Nitro Games,2010.0,4.99,1
Tomkorp Computer Solutions Inc.,2010.0,4.99,1
Paradox Interactive,2010.0,1.99,1
Double Helix Games,2010.0,3.99,1
Centauri Production,2010.0,9.99,1
Centauri Production,2009.0,6.99,1
Centauri Production,2010.0,12.99,1
Altar Games,2007.0,4.99,1
React Games,2010.0,9.99,1
Treyarch,2010.0,39.99,1
Sonic Boom Games,2010.0,0.99,1
Oddworld Inhabitants,2010.0,4.99,1
Sonic Boom Games,2010.0,1.99,1
Oddworld Inhabitants,2010.0,9.99,1
"Ntreev Soft Co., Ltd.",2010.0,4.99,1
Telltale Games,2010.0,19.99,1
Rockstar Games,2002.0,9.99,1
Rockstar Games,2005.0,14.99,1
Crystal Dynamics Inc.,2011.0,3.49,1
Crystal Dynamics Inc.,2011.0,3.49,1
Crystal Dynamics,2011.0,3.49,1
Crystal Dynamics Inc.,2011.0,3.49,1
Rockstar Games,2003.0,9.99,1
Brightside Games,2011.0,9.99,1
Extend Studio,2011.0,4.99,1
BlueGiant Interactive,2011.0,14.99,1
Visceral Games,2011.0,19.99,1
Big Fish Studios,2011.0,9.99,1
Cateia Games,2011.0,4.99,1
Uber Entertainment,2011.0,4.99,1
MumboJumbo,2011.0,9.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,4.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,4.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
SEGA,2011.0,2.99,1
The Sims Studio,2009.0,19.99,1
VStep,2011.0,3.99,1
The Sims Studio,2010.0,19.99,1
The Sims Studio,2009.0,19.99,1
The Sims Studio,2010.0,19.99,1
The Sims Studio,2010.0,19.99,1
The Sims Studio,2010.0,19.99,1
Trinoteam,2011.0,4.99,1
Virtual Prophecy Entertainment,2011.0,14.99,1
The Sims Studio,2011.0,19.99,1
Mediatonic,2011.0,5.99,1
Cyan Worlds,2011.0,5.99,1
Petroglyph,2011.0,2.99,1
Reality Pump Studios,2011.0,19.99,1
Eden Studios,,19.99,1
NeoCoreGames,2011.0,3.99,1
Positech Games,2011.0,6.99,1
NeoCoreGames,2011.0,3.99,1
Realmforge Studios,2011.0,9.99,1
"Arcen Games, LLC",2011.0,4.99,1
DTP,2011.0,19.99,1
Stainless Games,2011.0,9.99,1
Fakt Software,2011.0,4.99,1
Gaijin Games,2011.0,9.99,1
"Kaos Studios,Digital Extremes",2011.0,19.99,1
Red Redemption,2011.0,9.99,1
Copenhagen Game Collective,2011.0,2.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,0.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,2.99,1
"Relic Entertainment,Feral interactive (Mac/Linux)",2011.0,0.99,1
"Relic Entertainment,Feral interactive (Mac/Linux)",2011.0,0.99,1
Trion Worlds,2013.0,0.0,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,29.99,1
Stout Games,2011.0,3.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,2.99,1
Black Lion Studios,2011.0,9.99,1
Colossal Order Ltd.,2011.0,3.99,1
VStep,2011.0,3.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,6.99,1
SimBin,2011.0,3.99,1
11 bit studios,2011.0,9.99,1
Ntronium Games,2010.0,14.99,1
Martin Ivanov,2011.0,9.99,1
Realmforge Studios,2011.0,3.99,1
800 North and Digital Ranch,2011.0,9.99,1
Gaming Minds Studios,2011.0,9.99,1
Valve,2011.0,19.99,1
Arrowhead Game Studios,2011.0,4.99,1
Coffee Stain Studios,2011.0,9.99,1
1C:InoCo,2011.0,19.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,2.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,9.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,2.99,1
Mode 7,2011.0,24.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,2.99,1
inner seas,2011.0,4.99,1
inXile Entertainment,2011.0,4.99,1
Fatshark,2011.0,9.99,1
The Sims Studio,2011.0,19.99,1
Colossal Order Ltd.,2011.0,5.99,1
Arrowhead Game Studios,2011.0,0.99,1
Behaviour,2011.0,1.99,1
Microids,2009.0,7.99,1
Microids,2005.0,7.99,1
Treyarch,2011.0,14.99,1
Obsidian Entertainment,2011.0,14.99,1
Gearbox Software,2011.0,19.99,1
Red Duck Inc.,2011.0,0.0,1
Cryptic Studios,2009.0,0.0,1
"Apus Software,Three Donkeys LLC",2011.0,9.99,1
Colossal Order Ltd.,2011.0,3.99,1
Reality Pump Studios,2011.0,9.99,1
Peter Brinson and Kurosh ValaNejad,2011.0,0.0,1
Stainless Games Ltd,2011.0,19.99,1
Bacon Wrapped Games,2011.0,9.99,1
Cold Beam Games,2011.0,4.99,1
Mode 7,2011.0,5.99,1
Murudai,2011.0,9.99,1
Totem Games,2011.0,9.99,1
Totem games,2011.0,9.99,1
Arrowhead Game Studios,2011.0,2.99,1
Totem Games,2011.0,9.99,1
Day 1 Studios,2011.0,19.99,1
Arrowhead Game Studios,2011.0,1.99,1
Arrowhead Game Studios,2011.0,1.99,1
N3V Games,2011.0,19.99,1
Arrowhead Game Studios,2011.0,1.99,1
Paradox Interactive,2011.0,1.99,1
Bedlam Games,2011.0,14.99,1
SimBin,2011.0,3.99,1
Giants Software,2011.0,6.99,1
Paradox Interactive,2011.0,1.99,1
Paradox Development Studio,2011.0,4.99,1
Team17 Digital Ltd,2011.0,4.99,1
Team17 Digital Ltd,2011.0,4.99,1
Team17 Digital Ltd,2011.0,4.99,1
Realmforge Studios,2011.0,2.99,1
Team17 Digital Ltd,2011.0,4.99,1
Telltale Games,2011.0,9.99,1
Tripwire Interactive,2011.0,7.99,1
Ageod,2011.0,3.99,1
Secret Base,2011.0,0.99,1
Obsidian Entertainment,2011.0,4.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,6.99,1
YeaBoing,2011.0,4.99,1
Dovetail Games,2011.0,8.99,1
"Kaos Studios,Digital Extremes",2011.0,0.99,1
Mystic Box,2011.0,9.99,1
Digitalmindsoft,2011.0,1.99,1
"Dejobaan Games, LLC",2011.0,1.99,1
Lunar Giant,2011.0,0.99,1
Extend Studio,2011.0,0.99,1
Colossal Order Ltd.,2011.0,2.99,1
HeR Interactive,2010.0,6.99,1
Bohemia Interactive,2011.0,4.99,1
Zachtronics,2011.0,1.99,1
Haemimont Games,2011.0,14.99,1
HeR Interactive,2011.0,6.99,1
HeR Interactive,2010.0,6.99,1
Total Eclipse,2011.0,6.99,1
Ageod,2011.0,3.99,1
Two Tribes,2011.0,6.99,1
"Firaxis Games,Aspyr (Mac, Linux)",2011.0,4.99,1
"Firaxis Games,Aspyr (Mac, Linux)",2011.0,4.99,1
Coffee Stain Studios,2011.0,9.99,1
exosyphen studios,2011.0,4.99,1
MinMax Games Ltd.,2011.0,9.99,1
TimeGate Studios,2011.0,3.99,1
TimeGate Studios,2011.0,2.99,1
TimeGate Studios,2011.0,3.99,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2011.0,6.99,1
Obsidian Entertainment,2011.0,4.99,1
Three Rings,2011.0,0.0,1
Hothead Games,2011.0,14.99,1
Relic,2011.0,29.99,1
1C Company,2011.0,7.99,1
Flying Wild Hog,2012.0,14.99,1
Ageod,2011.0,3.99,1
"Octane Games,Meridian4",2011.0,9.99,1
ACE Team,2011.0,9.99,1
Tripwire Interactive,2011.0,19.99,1
Colossal Order Ltd.,2011.0,5.99,1
Stainless Games Ltd,2011.0,4.99,1
Paradox Development Studio,2011.0,9.99,1
PomPom,2011.0,4.99,1
HeR Interactive,2010.0,6.99,1
Reality Pump Studios,2011.0,9.99,1
NGD Studios,2011.0,4.99,1
Gearbox Software,2011.0,9.99,1
Gas Powered Games,2011.0,14.99,1
Edmund McMillen and Florian Himsl,2011.0,4.99,1
Giants Software,2011.0,6.99,1
1C-Avalon,2011.0,4.99,1
Gas Powered Games,2007.0,14.99,1
Red Redemption,2011.0,18.99,1
Steel Monkeys,2011.0,1.99,1
Red Redemption,2011.0,2.99,1
Red Redemption,2011.0,4.99,1
City Interactive,2011.0,1.99,1
"Games Farm,3Division",2011.0,5.99,1
Red Redemption,2011.0,3.99,1
Capcom Vancouver,2011.0,19.99,1
Hothead Games,2011.0,1.99,1
"Akella,.dat",2011.0,14.99,1
Days of Wonder,2011.0,0.0,1
Dovetail Games,2011.0,8.99,1
Double Fine Productions,2011.0,9.99,1
The Sims Studio,2011.0,19.99,1
Positech Games,2011.0,5.99,1
"Vlambeer,Croteam",2011.0,4.99,1
Ideas Pad,2011.0,4.99,1
